,City,Suburb,Sales Q3 2018,"Median
3Q 2018",Sales Q4 2018,Median Q4 2018,Sales Q1 2019,Median Q1 2019,Sales Q2 2019,Median Q2 2019,y18_19_price,sales_18_19
0,ADELAIDE,ADELAIDE,1.0,960000.0,4.0,1660750.0,4.0,1002500.0,4.0,677500.0,1075187.5,13.0
1,ADELAIDE,NORTH ADELAIDE,9.0,1520000.0,9.0,1395000.0,10.0,972000.0,6.0,1634250.0,1380312.5,34.0
2,ADELAIDE HILLS,ALDGATE,6.0,770000.0,9.0,747500.0,16.0,830000.0,15.0,950000.0,824375.0,46.0
5,ADELAIDE HILLS,BELAIR,9.0,737000.0,19.0,670000.0,15.0,657500.0,17.0,541250.0,651437.5,60.0
7,ADELAIDE HILLS,BRIDGEWATER,19.0,535000.0,15.0,470000.0,14.0,568750.0,20.0,483500.0,514312.5,68.0
12,ADELAIDE HILLS,CRAFERS,6.0,621000.0,6.0,770000.0,8.0,732500.0,8.0,805000.0,732125.0,28.0
13,ADELAIDE HILLS,CRAFERS WEST,3.0,580000.0,3.0,818000.0,6.0,627750.0,5.0,600000.0,656437.5,17.0
16,ADELAIDE HILLS,HEATHFIELD,1.0,898000.0,5.0,648000.0,4.0,718000.0,2.0,950000.0,803500.0,12.0
24,ADELAIDE HILLS,MYLOR,2.0,640000.0,2.0,407500.0,1.0,600000.0,2.0,656500.0,576000.0,7.0
27,ADELAIDE HILLS,ROSTREVOR,23.0,630000.0,26.0,637500.0,31.0,662500.0,33.0,600000.0,632500.0,113.0
29,ADELAIDE HILLS,STIRLING,10.0,725000.0,12.0,900000.0,5.0,792558.0,16.0,705000.0,780639.5,43.0
30,ADELAIDE HILLS,STONYFELL,7.0,859500.0,2.0,1015000.0,3.0,800000.0,12.0,925000.0,899875.0,24.0
32,ADELAIDE HILLS,TERINGIE,2.0,960000.0,1.0,1701250.0,2.0,657500.0,3.0,726000.0,1011187.5,8.0
36,ADELAIDE HILLS,WOODFORDE,3.0,642000.0,4.0,899000.0,2.0,1005000.0,2.0,755000.0,825250.0,11.0
37,BURNSIDE,AULDANA,5.0,1120000.0,4.0,1362500.0,1.0,2460000.0,2.0,935000.0,1469375.0,12.0
38,BURNSIDE,BEAUMONT,11.0,970000.0,9.0,870000.0,7.0,955000.0,14.0,892500.0,921875.0,41.0
39,BURNSIDE,BEULAH PARK,5.0,810000.0,6.0,797500.0,6.0,918000.0,6.0,875000.0,850125.0,23.0
40,BURNSIDE,BURNSIDE,9.0,1200000.0,17.0,860000.0,6.0,1000000.0,4.0,875500.0,983875.0,36.0
43,BURNSIDE,ERINDALE,7.0,1245000.0,4.0,1160000.0,5.0,1275000.0,2.0,1096250.0,1194062.5,18.0
44,BURNSIDE,FREWVILLE,3.0,915000.0,1.0,1075000.0,2.0,687444.0,3.0,950000.0,906861.0,9.0
45,BURNSIDE,GLEN OSMOND,10.0,1091000.0,7.0,835000.0,8.0,1280000.0,5.0,770000.0,994000.0,30.0
46,BURNSIDE,GLENSIDE,7.0,889000.0,3.0,710000.0,3.0,1225000.0,25.0,930000.0,938500.0,38.0
47,BURNSIDE,GLENUNGA,8.0,1177500.0,7.0,1530000.0,8.0,1045400.0,6.0,1330000.0,1270725.0,29.0
48,BURNSIDE,HAZELWOOD PARK,4.0,1080250.0,6.0,795000.0,3.0,905000.0,4.0,878250.0,914625.0,17.0
50,BURNSIDE,KENSINGTON GARDENS,6.0,1280000.0,8.0,1040000.0,7.0,1160000.0,8.0,1190000.0,1167500.0,29.0
51,BURNSIDE,KENSINGTON PARK,8.0,1145000.0,7.0,948500.0,5.0,1225000.0,5.0,970000.0,1072125.0,25.0
52,BURNSIDE,LEABROOK,1.0,1875000.0,3.0,2294500.0,3.0,1951000.0,3.0,1136000.0,1814125.0,10.0
54,BURNSIDE,LINDEN PARK,4.0,1390000.0,8.0,990000.0,8.0,920000.0,5.0,840000.0,1035000.0,25.0
55,BURNSIDE,MAGILL,21.0,682000.0,28.0,670000.0,24.0,600000.0,27.0,653000.0,651250.0,100.0
58,BURNSIDE,ROSSLYN PARK,6.0,854250.0,4.0,1097500.0,4.0,787500.0,2.0,893500.0,908187.5,16.0
60,BURNSIDE,ST GEORGES,4.0,1230000.0,6.0,1375000.0,8.0,1280000.0,7.0,1380000.0,1316250.0,25.0
61,BURNSIDE,STONYFELL,7.0,859500.0,2.0,1015000.0,3.0,800000.0,12.0,925000.0,899875.0,24.0
62,BURNSIDE,TOORAK GARDENS,5.0,1425000.0,10.0,1400000.0,4.0,1705000.0,11.0,1330000.0,1465000.0,30.0
63,BURNSIDE,TUSMORE,3.0,1660000.0,8.0,1222500.0,3.0,930000.0,3.0,1863500.0,1419000.0,17.0
65,BURNSIDE,WATTLE PARK,5.0,910000.0,8.0,862750.0,5.0,860000.0,6.0,1025000.0,914437.5,24.0
66,CAMPBELLTOWN,ATHELSTONE,34.0,570000.0,32.0,537400.0,34.0,500000.0,33.0,578000.0,546350.0,133.0
67,CAMPBELLTOWN,CAMPBELLTOWN,34.0,545000.0,30.0,545500.0,27.0,534750.0,30.0,560000.0,546312.5,121.0
68,CAMPBELLTOWN,HECTORVILLE,5.0,615000.0,9.0,583000.0,7.0,650000.0,13.0,595000.0,610750.0,34.0
69,CAMPBELLTOWN,MAGILL,21.0,682000.0,28.0,670000.0,24.0,600000.0,27.0,653000.0,651250.0,100.0
70,CAMPBELLTOWN,NEWTON,11.0,588000.0,14.0,539500.0,13.0,535500.0,13.0,530000.0,548250.0,51.0
71,CAMPBELLTOWN,PARADISE,21.0,577500.0,26.0,534000.0,16.0,539000.0,13.0,488000.0,534625.0,76.0
72,CAMPBELLTOWN,ROSTREVOR,23.0,630000.0,26.0,637500.0,31.0,662500.0,33.0,600000.0,632500.0,113.0
73,CAMPBELLTOWN,TRANMERE,6.0,686250.0,6.0,631000.0,15.0,735000.0,12.0,655000.0,676812.5,39.0
74,CHARLES STURT,ALBERT PARK,8.0,488000.0,6.0,430500.0,2.0,455000.0,8.0,487500.0,465250.0,24.0
75,CHARLES STURT,ALLENBY GARDENS,6.0,545000.0,5.0,693750.0,6.0,747500.0,5.0,535000.0,630312.5,22.0
76,CHARLES STURT,ATHOL PARK,6.0,321000.0,6.0,402500.0,4.0,365000.0,7.0,398000.0,371625.0,23.0
77,CHARLES STURT,BEVERLEY,3.0,517500.0,10.0,487500.0,6.0,497500.0,5.0,490000.0,498125.0,24.0
79,CHARLES STURT,BROMPTON,13.0,520000.0,6.0,605500.0,6.0,528000.0,8.0,575000.0,557125.0,33.0
80,CHARLES STURT,CHELTENHAM,6.0,505000.0,8.0,515000.0,7.0,495000.0,6.0,555000.0,517500.0,27.0
81,CHARLES STURT,CROYDON,7.0,636000.0,2.0,660000.0,3.0,740000.0,2.0,660000.0,674000.0,14.0
82,CHARLES STURT,DEVON PARK,2.0,511190.0,4.0,471000.0,2.0,417500.0,2.0,485000.0,471172.5,10.0
83,CHARLES STURT,FINDON,26.0,537500.0,18.0,545000.0,18.0,512500.0,21.0,560000.0,538750.0,83.0
