,City,Suburb,Sales Q3 2015,Median Q3 2015,Sales Q4 2015,Median Q4 2015,Sales Q1 2016,Median Q1 2016,Sales Q2 2016,Median Q2 2016,y15_16_price
370,PROSPECT,PROSPECT,37.0,580000.0,24.0,686350.0,27.0,570000.0,36.0,641250.0,619400.0
371,PROSPECT,SEFTON PARK,8.0,552500.0,3.0,450000.0,6.0,531630.0,3.0,410000.0,486032.5
374,SALISBURY,BRAHMA LODGE,7.0,267000.0,8.0,271000.0,7.0,278000.0,8.0,280000.0,274000.0
375,SALISBURY,BURTON,24.0,315000.0,18.0,345000.0,13.0,345250.0,21.0,307000.0,328062.5
377,SALISBURY,DIREK,6.0,318000.0,4.0,323500.0,2.0,322500.0,4.0,330000.0,323500.0
380,SALISBURY,ELIZABETH VALE,19.0,231000.0,12.0,218000.0,5.0,265000.0,5.0,243000.0,239250.0
383,SALISBURY,GULFVIEW HEIGHTS,11.0,495000.0,7.0,305000.0,12.0,522750.0,8.0,412500.0,433812.5
384,SALISBURY,INGLE FARM,33.0,300000.0,31.0,311000.0,18.0,331000.0,29.0,315000.0,314250.0
385,SALISBURY,MAWSON LAKES,44.0,459000.0,40.0,490000.0,39.0,440000.0,51.0,480000.0,467250.0
386,SALISBURY,MODBURY HEIGHTS,23.0,388000.0,13.0,402000.0,18.0,385000.0,25.0,365000.0,385000.0
387,SALISBURY,PARA HILLS,18.0,310000.0,28.0,300000.0,23.0,314500.0,27.0,291000.0,303875.0
388,SALISBURY,PARA HILLS WEST,6.0,316250.0,8.0,325000.0,6.0,322500.0,11.0,288000.0,312937.5
389,SALISBURY,PARA VISTA,10.0,350000.0,10.0,325000.0,9.0,365000.0,10.0,353000.0,348250.0
390,SALISBURY,PARAFIELD GARDENS,45.0,305000.0,21.0,292500.0,30.0,315000.0,58.0,300000.0,303125.0
391,SALISBURY,PARALOWIE,48.0,280000.0,50.0,268500.0,42.0,327500.0,46.0,285000.0,290250.0
392,SALISBURY,POORAKA,25.0,330500.0,22.0,338000.0,12.0,345000.0,17.0,352500.0,341500.0
393,SALISBURY,SALISBURY,18.0,290500.0,13.0,305000.0,19.0,295500.0,22.0,282500.0,293375.0
394,SALISBURY,SALISBURY DOWNS,19.0,303500.0,9.0,315000.0,10.0,283000.0,16.0,278000.0,294875.0
395,SALISBURY,SALISBURY EAST,28.0,308000.0,23.0,289000.0,20.0,305000.0,26.0,290000.0,298000.0
396,SALISBURY,SALISBURY HEIGHTS,7.0,417500.0,10.0,376500.0,12.0,572500.0,23.0,417500.0,446000.0
397,SALISBURY,SALISBURY NORTH,21.0,254000.0,17.0,249250.0,19.0,262500.0,24.0,251000.0,254187.5
398,SALISBURY,SALISBURY PARK,3.0,276500.0,10.0,305000.0,4.0,274500.0,3.0,289000.0,286250.0
399,SALISBURY,SALISBURY PLAIN,3.0,270000.0,3.0,317500.0,2.0,325000.0,4.0,319000.0,307875.0
402,SALISBURY,VALLEY VIEW,15.0,367500.0,16.0,387000.0,13.0,357750.0,25.0,405100.0,379337.5
403,SALISBURY,WALKLEY HEIGHTS,4.0,503000.0,6.0,413100.0,11.0,560000.0,5.0,515000.0,497775.0
405,TEA TREE GULLY,BANKSIA PARK,14.0,377500.0,7.0,375000.0,4.0,320000.0,15.0,420000.0,373125.0
406,TEA TREE GULLY,DERNANCOURT,16.0,453500.0,11.0,480000.0,8.0,462500.0,16.0,410000.0,451500.0
407,TEA TREE GULLY,FAIRVIEW PARK,11.0,385500.0,10.0,362500.0,8.0,374000.0,17.0,416400.0,384600.0
408,TEA TREE GULLY,GILLES PLAINS,9.0,367500.0,9.0,355000.0,9.0,443000.0,15.0,360000.0,381375.0
409,TEA TREE GULLY,GOLDEN GROVE,25.0,385000.0,26.0,481000.0,13.0,444000.0,35.0,470000.0,445000.0
411,TEA TREE GULLY,GREENWITH,32.0,390000.0,30.0,410250.0,30.0,442500.0,38.0,455000.0,424437.5
412,TEA TREE GULLY,GULFVIEW HEIGHTS,11.0,495000.0,7.0,305000.0,12.0,522750.0,8.0,412500.0,433812.5
413,TEA TREE GULLY,HIGHBURY,23.0,507500.0,26.0,431000.0,14.0,480000.0,27.0,475000.0,473375.0
414,TEA TREE GULLY,HOLDEN HILL,8.0,360500.0,8.0,365000.0,7.0,322000.0,14.0,372500.0,355000.0
415,TEA TREE GULLY,HOPE VALLEY,15.0,384720.0,17.0,389000.0,17.0,370000.0,18.0,385000.0,382180.0
416,TEA TREE GULLY,MODBURY,4.0,436000.0,12.0,356250.0,17.0,360000.0,20.0,360000.0,378062.5
417,TEA TREE GULLY,MODBURY HEIGHTS,23.0,388000.0,13.0,402000.0,18.0,385000.0,25.0,365000.0,385000.0
418,TEA TREE GULLY,MODBURY NORTH,12.0,342500.0,15.0,363250.0,19.0,354000.0,32.0,350000.0,352437.5
419,TEA TREE GULLY,REDWOOD PARK,22.0,370000.0,9.0,350000.0,18.0,365000.0,20.0,389000.0,368500.0
420,TEA TREE GULLY,RIDGEHAVEN,14.0,353250.0,8.0,357000.0,10.0,372600.0,16.0,328000.0,352712.5
421,TEA TREE GULLY,SALISBURY EAST,28.0,308000.0,23.0,289000.0,20.0,305000.0,26.0,290000.0,298000.0
422,TEA TREE GULLY,SALISBURY HEIGHTS,7.0,417500.0,10.0,376500.0,12.0,572500.0,23.0,417500.0,446000.0
423,TEA TREE GULLY,ST AGNES,7.0,367000.0,11.0,401000.0,11.0,400000.0,18.0,387000.0,388750.0
424,TEA TREE GULLY,SURREY DOWNS,11.0,356500.0,14.0,350500.0,4.0,387500.0,20.0,365000.0,364875.0
425,TEA TREE GULLY,TEA TREE GULLY,14.0,422750.0,7.0,410000.0,10.0,475000.0,9.0,429500.0,434312.5
426,TEA TREE GULLY,VALLEY VIEW,15.0,367500.0,16.0,387000.0,13.0,357750.0,25.0,405100.0,379337.5
428,TEA TREE GULLY,WYNN VALE,30.0,397500.0,20.0,469000.0,14.0,446500.0,21.0,470000.0,445750.0
430,UNLEY,BLACK FOREST,4.0,645800.0,4.0,670000.0,4.0,542100.0,1.0,660100.0,629500.0
431,UNLEY,CLARENCE PARK,4.0,755000.0,2.0,742500.0,5.0,559500.0,1.0,495000.0,638000.0
433,UNLEY,FORESTVILLE,1.0,552000.0,1.0,523000.0,3.0,585000.0,7.0,660000.0,580000.0
434,UNLEY,FULLARTON,7.0,845000.0,8.0,757500.0,7.0,793500.0,9.0,798000.0,798500.0
435,UNLEY,GOODWOOD,5.0,710000.0,4.0,650000.0,3.0,770000.0,9.0,736000.0,716500.0
436,UNLEY,HIGHGATE,3.0,876000.0,3.0,699500.0,5.0,782500.0,6.0,1080000.0,859500.0
440,UNLEY,MALVERN,9.0,1710000.0,8.0,1102500.0,6.0,961000.0,12.0,965500.0,1184750.0
441,UNLEY,MILLSWOOD,5.0,925000.0,4.0,1907500.0,6.0,975000.0,5.0,1220000.0,1256875.0
442,UNLEY,MYRTLE BANK,3.0,955000.0,9.0,815000.0,3.0,730000.0,12.0,838000.0,834500.0
443,UNLEY,PARKSIDE,14.0,740000.0,17.0,780000.0,5.0,676000.0,19.0,830000.0,756500.0
444,UNLEY,UNLEY,5.0,878000.0,10.0,1160000.0,6.0,862500.0,3.0,1500000.0,1100125.0
445,UNLEY,UNLEY PARK,5.0,2100000.0,4.0,2450000.0,2.0,735750.0,5.0,1250000.0,1633937.5
446,UNLEY,WAYVILLE,2.0,775000.0,2.0,816000.0,3.0,860000.0,3.0,707000.0,789500.0
447,WALKERVILLE,GILBERTON,7.0,806000.0,4.0,885000.0,2.0,960750.0,4.0,775000.0,856687.5
449,WALKERVILLE,VALE PARK,4.0,615000.0,12.0,641000.0,3.0,558250.0,8.0,810000.0,656062.5
450,WALKERVILLE,WALKERVILLE,8.0,882500.0,10.0,990000.0,7.0,1032000.0,7.0,1330000.0,1058625.0
453,WEST TORRENS,BROOKLYN PARK,17.0,452500.0,11.0,475000.0,4.0,545500.0,14.0,492500.0,491375.0
454,WEST TORRENS,CAMDEN PARK,13.0,480000.0,7.0,557400.0,6.0,492500.0,2.0,480000.0,502475.0
455,WEST TORRENS,COWANDILLA,4.0,428000.0,2.0,414000.0,3.0,554000.0,2.0,568000.0,491000.0
456,WEST TORRENS,FULHAM,10.0,620000.0,5.0,610000.0,5.0,625000.0,5.0,585000.0,610000.0
457,WEST TORRENS,GLANDORE,7.0,489000.0,8.0,615000.0,4.0,645000.0,8.0,550000.0,574750.0
458,WEST TORRENS,GLENELG NORTH,19.0,622500.0,11.0,570000.0,15.0,557500.0,12.0,685000.0,608750.0
462,WEST TORRENS,KURRALTA PARK,7.0,655000.0,6.0,586500.0,4.0,571300.0,5.0,548000.0,590200.0
463,WEST TORRENS,LOCKLEYS,22.0,710000.0,8.0,635000.0,8.0,696500.0,16.0,610000.0,662875.0
464,WEST TORRENS,MARLESTON,2.0,530000.0,1.0,660000.0,3.0,470000.0,3.0,545000.0,551250.0
465,WEST TORRENS,MILE END,9.0,495000.0,5.0,556000.0,12.0,719000.0,7.0,479275.0,562318.75
467,WEST TORRENS,NETLEY,7.0,440000.0,8.0,482000.0,7.0,485250.0,11.0,515000.0,480562.5
468,WEST TORRENS,NORTH PLYMPTON,6.0,622500.0,4.0,525000.0,9.0,466500.0,7.0,491000.0,526250.0
469,WEST TORRENS,NOVAR GARDENS,4.0,490000.0,10.0,565000.0,6.0,650000.0,8.0,572750.0,569437.5
470,WEST TORRENS,PLYMPTON,11.0,520000.0,12.0,536500.0,12.0,560000.0,17.0,580000.0,549125.0
471,WEST TORRENS,RICHMOND,9.0,420000.0,4.0,526500.0,11.0,456500.0,10.0,546000.0,487250.0
473,WEST TORRENS,TORRENSVILLE,12.0,602500.0,10.0,576250.0,7.0,537500.0,7.0,627500.0,585937.5
474,WEST TORRENS,UNDERDALE,7.0,580000.0,3.0,511000.0,3.0,533000.0,8.0,529000.0,538250.0
475,WEST TORRENS,WEST BEACH,8.0,728000.0,8.0,633500.0,7.0,825000.0,7.0,706000.0,723125.0
476,WEST TORRENS,WEST RICHMOND,3.0,392500.0,4.0,353000.0,3.0,410000.0,1.0,390000.0,386375.0
