,City,Suburb,Sales Q3 2019,"Median
3Q 2019",Sales Q4 2019,Median Q4 2019,Sales Q1 2020,Median Q1 2020,Sales Q2 2020,Median Q2 2020
0,ADELAIDE,ADELAIDE,4.0,775000.0,4.0,770117.0,6.0,810000.0,11.0,850000.0
1,ADELAIDE,NORTH ADELAIDE,12.0,1170000.0,10.0,1352500.0,15.0,1360000.0,6.0,945000.0
2,ADELAIDE HILLS,ALDGATE,9.0,697500.0,14.0,753250.0,10.0,797500.0,9.0,795000.0
5,ADELAIDE HILLS,BELAIR,18.0,629000.0,12.0,775505.5,13.0,775000.0,12.0,672500.0
7,ADELAIDE HILLS,BRIDGEWATER,20.0,505250.0,15.0,515000.0,13.0,505000.0,11.0,485000.0
12,ADELAIDE HILLS,CRAFERS,4.0,641000.0,13.0,637500.0,7.0,795000.0,11.0,810000.0
13,ADELAIDE HILLS,CRAFERS WEST,2.0,805000.0,8.0,957500.0,5.0,935000.0,4.0,602500.0
15,ADELAIDE HILLS,GREENHILL,1.0,443000.0,4.0,728000.0,2.0,699000.0,1.0,430000.0
16,ADELAIDE HILLS,HEATHFIELD,2.0,625000.0,5.0,600000.0,1.0,580000.0,2.0,420000.0
27,ADELAIDE HILLS,ROSTREVOR,25.0,620000.0,32.0,600000.0,36.0,628250.0,22.0,690000.0
29,ADELAIDE HILLS,STIRLING,9.0,878750.0,15.0,842500.0,12.0,737500.0,14.0,872500.0
30,ADELAIDE HILLS,STONYFELL,2.0,1200000.0,5.0,1100000.0,2.0,920000.0,7.0,1048888.0
32,ADELAIDE HILLS,TERINGIE,2.0,669500.0,4.0,767500.0,1.0,695000.0,2.0,764500.0
33,ADELAIDE HILLS,UPPER STURT,2.0,603000.0,4.0,507500.0,4.0,515000.0,2.0,670000.0
34,ADELAIDE HILLS,URAIDLA,2.0,621508.0,2.0,538500.0,1.0,550000.0,1.0,815000.0
38,BURNSIDE,BEAUMONT,7.0,1076500.0,9.0,1140000.0,7.0,880000.0,12.0,950000.0
39,BURNSIDE,BEULAH PARK,9.0,690000.0,4.0,740060.0,5.0,850000.0,11.0,1006000.0
40,BURNSIDE,BURNSIDE,11.0,992500.0,14.0,870000.0,10.0,1110000.0,6.0,758750.0
41,BURNSIDE,DULWICH,6.0,1170000.0,2.0,885000.0,6.0,1130000.0,4.0,998500.0
43,BURNSIDE,ERINDALE,2.0,1085000.0,7.0,1090250.0,6.0,1080000.0,3.0,1170000.0
44,BURNSIDE,FREWVILLE,1.0,1260000.0,1.0,1020000.0,1.0,962500.0,4.0,947500.0
45,BURNSIDE,GLEN OSMOND,4.0,1084000.0,4.0,1012500.0,6.0,941000.0,9.0,906000.0
